HOUSEID,PERSONID,TDTRPNUM,TRVLCMIN,TRIPPURP,WHYTO,WHYFROM,TRPTRANS,trip_mode_drivingDetail,trip_mode_simplified,trip_purpose,trip_mode_EXTRA_simplified,trip_purpose_EXTRA_simp
30429378,02,01,20,HBSHOP,11,01,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30429378,02,02,7,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30429378,02,03,19,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30429378,02,04,7,NHB,11,11,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30429378,02,05,10,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
30429378,02,06,10,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30429378,02,07,7,HBW,01,03,03,Drive: Car,Drive,Going Home,Drive,Going Home
30429378,03,01,17,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30429378,03,02,23,NHB,04,03,03,Drive: Car,Drive,Work,Drive,Work
30429378,03,03,20,NHB,03,04,03,Drive: Car,Drive,Work,Drive,Work
30429378,03,04,14,HBW,01,03,03,Drive: Car,Drive,Going Home,Drive,Going Home
30429378,04,06,15,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
30429378,04,07,5,NHB,11,03,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30429378,04,08,15,HBSHOP,01,11,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30430432,01,01,30,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30430432,01,02,30,HBW,01,03,03,Drive: Car,Drive,Going Home,Drive,Going Home
30430432,02,01,60,HBW,03,01,13,Private Bus,Private Bus,Work,Other,Work
30430432,02,02,75,HBW,01,03,03,Drive: Car,Drive,Going Home,Drive,Going Home
30431265,01,01,203,HBSOCREC,17,01,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30431265,01,02,10,NHB,11,17,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30431265,01,03,10,NHB,17,11,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30431265,02,01,30,HBW,03,01,05,Drive: SUV/Van,Drive,Work,Drive,Work
30431265,02,02,35,HBW,01,03,05,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30431265,03,01,200,HBSOCREC,17,01,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30442091,01,01,15,NHB,03,16,03,Drive: Car,Drive,Work,Drive,Work
30442091,01,02,30,NHB,12,03,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
30473586,01,01,30,HBO,06,01,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
30473586,01,02,29,HBO,01,06,03,Drive: Car,Drive,Going Home,Drive,Going Home
30473586,02,01,30,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30473586,02,02,5,NHB,16,03,03,Drive: Car,Drive,Exercise,Drive,Other
30473586,02,03,5,NHB,03,16,03,Drive: Car,Drive,Work,Drive,Work
30473586,02,04,26,NHB,11,03,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30473586,02,05,12,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
30473586,03,01,30,HBO,19,01,03,Drive: Car,Drive,Religious,Drive,Volunteering/Religious Activities
30473586,03,02,33,HBO,01,19,03,Drive: Car,Drive,Going Home,Drive,Going Home
30475615,02,01,15,HBSHOP,11,01,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30475615,02,02,2,HBSHOP,01,11,03,Drive: Car,Drive,Going Home,Drive,Going Home
30479234,01,01,5,NHB,11,17,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30479234,01,02,25,NHB,17,11,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
30479234,01,03,30,NHB,12,17,03,Drive: Car,Drive,Errands,Drive,Errands (Non-shopping)
30479234,01,04,-9,NHB,06,12,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
30479234,01,05,9,HBO,01,06,03,Drive: Car,Drive,Going Home,Drive,Going Home
30507495,01,01,15,HBO,18,01,03,Drive: Car,Drive,Medical Visit,Drive,Medical Visit
30507495,01,02,45,NHB,03,18,03,Drive: Car,Drive,Work,Drive,Work
30507495,01,03,5,NHB,16,03,03,Drive: Car,Drive,Exercise,Drive,Other
30507495,01,04,5,NHB,03,16,03,Drive: Car,Drive,Work,Drive,Work
30507495,01,05,55,HBW,01,03,03,Drive: Car,Drive,Going Home,Drive,Going Home
