HOUSEID,PERSONID,TDTRPNUM,TRVLCMIN,TRIPPURP,WHYTO,WHYFROM,TRPTRANS,trip_mode_drivingDetail,trip_mode_simplified,trip_purpose,trip_mode_EXTRA_simplified,trip_purpose_EXTRA_simp
40128486,02,02,20,NHB,14,06,04,Drive: SUV/Van,Drive,Errands,Drive,Errands (Non-shopping)
40128486,02,03,10,HBO,01,14,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40128486,03,01,15,HBO,19,01,04,Drive: SUV/Van,Drive,Religious,Drive,Volunteering/Religious Activities
40128486,03,02,15,NHB,13,19,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40128486,03,03,1,NHB,13,13,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40128486,03,04,15,HBSHOP,01,13,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40128486,03,05,10,HBO,06,01,04,Drive: SUV/Van,Drive,Giving someone a ride,Drive,Giving Someone a Ride
40128486,03,06,20,NHB,97,06,04,Drive: SUV/Van,Drive,NA,Drive,NA
40128486,03,07,10,HBO,01,97,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40135375,01,01,21,HBSOCREC,17,01,03,Drive: Car,Drive,Visiting Friends,Drive,Visiting Friends
40135375,01,02,12,NHB,11,17,03,Drive: Car,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
40135375,01,03,12,NHB,16,11,03,Drive: Car,Drive,Exercise,Drive,Other
40135375,01,04,7,HBSOCREC,01,16,03,Drive: Car,Drive,Going Home,Drive,Going Home
40149464,01,01,25,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
40149464,01,02,45,NHB,18,03,04,Drive: SUV/Van,Drive,Medical Visit,Drive,Medical Visit
40149464,01,03,20,NHB,17,18,04,Drive: SUV/Van,Drive,Visiting Friends,Drive,Visiting Friends
40149464,01,04,45,NHB,13,17,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
40149464,01,05,35,HBSHOP,01,13,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
40149464,02,01,15,HBW,03,01,06,Drive: Pickup Truck,Drive,Work,Drive,Work
